"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.05225940860069e-142,1.64615248905936,0.373,0.149,8.33504636209082e-138,"30","Samd4"
4.00487544250506e-142,1.37226231871577,0.573,0.322,1.62654011221901e-137,"30","Akap13"
1.2200896453856e-141,1.16643120617342,0.686,0.477,4.95527208576907e-137,"30","Purb"
1.80226482579468e-140,1.30408596099915,0.528,0.275,7.31971836348252e-136,"30","Fnbp1"
2.29099448861828e-140,1.79582231284331,0.309,0.11,9.30464501607428e-136,"30","Fstl4"
3.92147258503341e-140,0.87029437368027,0.815,0.589,1.59266687568547e-135,"30","Tmtc2"
5.28250197355579e-140,1.17079418430413,0.341,0.125,2.14543535153995e-135,"30","Paqr8"
4.55947043960413e-139,0.650617303640894,0.949,0.865,1.85178332434082e-134,"30","Myl6"
6.58489551172207e-139,1.86504899074987,0.318,0.117,2.6743894631308e-134,"30","Lix1"
1.02378049359507e-138,1.74231181020549,0.331,0.124,4.15798209668701e-134,"30","Ankrd42"
2.99659756717522e-138,1.53654745008301,0.401,0.17,1.21703813593254e-133,"30","Parva"
4.826666548142e-137,1.60802529681075,0.25,0.077,1.96030235186239e-132,"30","Cyp7b1"
6.5767787344404e-137,1.24222448384092,0.717,0.521,2.67109291520563e-132,"30","Sorbs1"
7.33746261898369e-137,1.39048616615382,0.574,0.316,2.98003706807403e-132,"30","Six3os1"
8.12890030124025e-137,1.24033211031957,0.557,0.304,3.30147156834572e-132,"30","Efcab1"
2.50635819175363e-136,0.896989221305628,0.792,0.602,1.01793231599882e-131,"30","Dennd1a"
9.01146997872791e-136,0.953373155920596,0.774,0.592,3.65991841716055e-131,"30","Aplp2"
3.6728093985958e-135,1.32438528880425,0.28,0.093,1.4916748091457e-130,"30","Tnfaip8"
4.5069535440712e-135,1.26755997219703,0.399,0.166,1.83045411238908e-130,"30","Grk3"
